Item,Variable,Substance,Tier,Field_Type,Gate_Variable,Gate_Value,Choice_Set,Text
23,hsum_nic_quant_cgr,Nicotine,Consumption,dropdown,hsum_nic_form,3,quant_nic_cgr,"On days when you smoked cigars, cigarillos, or filtered cigars, how many did you typically smoke?"
24,hsum_nic_quant_oth,Nicotine,Consumption,text,hsum_nic_form,any_other,text,"On days when you used nicotine, how much did you typically use?"
25,hsum_can_freq,Cannabis,Consumption,radio,hsum_can,1,freq_12m,"How often did you use cannabis (marijuana, pot, grass, hash, etc.) over the past 12 months?"
26,hsum_can_intox,Cannabis,Consumption,radio,hsum_can,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using cannabis?"
27,hsum_can_quant,Cannabis,Consumption,text,hsum_can,1,text,"On days when you used cannabis, how much did you typically use?"
28,hsum_coc_freq,Cocaine,Consumption,radio,hsum_coc,1,freq_12m,"How often did you use cocaine (coke, crack, etc.) over the past 12 months?"
29,hsum_coc_intox,Cocaine,Consumption,radio,hsum_coc,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using cocaine?"
30,hsum_coc_quant,Cocaine,Consumption,text,hsum_coc,1,text,"On days when you used cocaine, how much did you typically use?"
31,hsum_stm_freq,Prescription stimulants,Consumption,radio,hsum_stm,1,freq_12m,"How often did you use prescription stimulants (Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.) over the past 12 months?"
32,hsum_stm_intox,Prescription stimulants,Consumption,radio,hsum_stm,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using prescription stimulants?"
33,hsum_stm_quant,Prescription stimulants,Consumption,text,hsum_stm,1,text,"On days when you used prescription stimulants, how much did you typically use?"
34,hsum_met_freq,Methamphetamine,Consumption,radio,hsum_met,1,freq_12m,"How often did you use methamphetamine (speed, crystal meth, ice, etc.) over the past 12 months?"
35,hsum_met_intox,Methamphetamine,Consumption,radio,hsum_met,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using methamphetamine?"
36,hsum_met_quant,Methamphetamine,Consumption,text,hsum_met,1,text,"On days when you used methamphetamine, how much did you typically use?"
37,hsum_inh_freq,Inhalants,Consumption,radio,hsum_inh,1,freq_12m,"How often did you use inhalants (nitrous oxide, glue, gas, paint thinner, etc.) over the past 12 months?"
38,hsum_inh_intox,Inhalants,Consumption,radio,hsum_inh,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using inhalants?"
39,hsum_inh_quant,Inhalants,Consumption,text,hsum_inh,1,text,"On days when you used inhalants, how much did you typically use?"
40,hsum_sed_freq,Sedatives,Consumption,radio,hsum_sed,1,freq_12m,"How often did you use sedatives or sleeping pills (Valium, Serepax, Ativan, Xanax, Librium, Rohypnol, GHB, etc.) over the past 12 months?"
41,hsum_sed_intox,Sedatives,Consumption,radio,hsum_sed,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using sedatives or sleeping pills?"
42,hsum_sed_quant,Sedatives,Consumption,text,hsum_sed,1,text,"On days when you used sedatives or sleeping pills, how much did you typically use?"
43,hsum_hal_freq,Hallucinogens,Consumption,radio,hsum_hal,1,freq_12m,"How often did you use hallucinogens (LSD, acid, mushrooms, PCP, Special K, ecstasy, etc.) over the past 12 months?"
44,hsum_hal_intox,Hallucinogens,Consumption,radio,hsum_hal,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using hallucinogens?"
45,hsum_hal_quant,Hallucinogens,Consumption,text,hsum_hal,1,text,"On days when you used hallucinogens, how much did you typically use?"
46,hsum_sop_freq,Street opioids,Consumption,radio,hsum_sop,1,freq_12m,"How often did you use street opioids (heroin, opium, fentanyl, etc.) over the past 12 months?"
47,hsum_sop_intox,Street opioids,Consumption,radio,hsum_sop,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using street opioids?"
48,hsum_sop_quant,Street opioids,Consumption,text,hsum_sop,1,text,"On days when you used street opioids, how much did you typically use?"
49,hsum_pop_freq,Prescription opioids,Consumption,radio,hsum_pop,1,freq_12m,"How often did you use prescription opioids (oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc.) over the past 12 months?"
50,hsum_pop_intox,Prescription opioids,Consumption,radio,hsum_pop,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using prescription opioids?"
51,hsum_pop_quant,Prescription opioids,Consumption,text,hsum_pop,1,text,"On days when you used prescription opioids, how much did you typically use?"
52,hsum_oth_freq,Other,Consumption,radio,hsum_oth,1,freq_12m,How often did you use other specified substances over the past 12 months?
53,hsum_oth_intox,Other,Consumption,radio,hsum_oth,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/high while using other specified substances?"
54,hsum_oth_quant,Other,Consumption,text,hsum_oth,1,text,"On days when you used other specified substances, how much did you typically use?"
55,hsum_alc_sud01,Alcohol,Symptom - SUD (craving),radio,hsum_alc_freq,>= 3,symptom_4pt,Reminders of alcohol gave me a strong urge to drink alcohol.
56,hsum_alc_sud02,Alcohol,Symptom - SUD (craving),radio,hsum_alc_freq,>= 3,symptom_4pt,I craved alcohol.
57,hsum_alc_sud03,Alcohol,Symptom - SUD (craving),radio,hsum_alc_freq,>= 3,symptom_4pt,I had strong desires to use alcohol.
58,hsum_alc_sud04,Alcohol,Symptom - SUD (hazardous use),radio,hsum_alc_freq,>= 3,symptom_4pt,I drove a car while intoxicated under the influence of alcohol.
59,hsum_alc_sud05,Alcohol,Symptom - SUD (hazardous use),radio,hsum_alc_freq,>= 3,symptom_4pt,"When I was under the influence of alcohol, I was in a situation where I could have gotten hurt (e.g., when riding a bicycle, swimming, operating machinery)."
60,hsum_alc_sud06,Alcohol,Symptom - SUD (hazardous use),radio,hsum_alc_freq,>= 3,symptom_4pt,I damaged something valuable while using alcohol.
61,hsum_alc_sud07,Alcohol,Symptom - SUD (hazardous use),radio,hsum_alc_freq,>= 3,symptom_4pt,I did risky or dangerous things while using alcohol that I would not have done sober.
62,hsum_alc_sud08,Alcohol,Symptom - SUD (impaired control),radio,hsum_alc_freq,>= 3,symptom_4pt,I was not able to cut back on using alcohol when I wanted to.
63,hsum_alc_sud09,Alcohol,Symptom - SUD (impaired control),radio,hsum_alc_freq,>= 3,symptom_4pt,I used too much alcohol.
64,hsum_alc_sud10,Alcohol,Symptom - SUD (impaired control),radio,hsum_alc_freq,>= 3,symptom_4pt,"I tried to use alcohol only at certain times, but it did not work for long."
65,hsum_alc_sud11,Alcohol,Symptom - SUD (impaired control),radio,hsum_alc_freq,>= 3,symptom_4pt,I got high on alcohol despite previously deciding not to.
66,hsum_alc_sud12,Alcohol,Symptom - SUD (role interference),radio,hsum_alc_freq,>= 3,symptom_4pt,I continued to use alcohol even though it made my performance at work suffer.
67,hsum_alc_sud13,Alcohol,Symptom - SUD (role interference),radio,hsum_alc_freq,>= 3,symptom_4pt,"Using alcohol or being sick from using alcohol got in the way of my taking care of myself, my home, or my family."
68,hsum_alc_sud14,Alcohol,Symptom - SUD (role interference),radio,hsum_alc_freq,>= 3,symptom_4pt,"I missed work, school, or other obligations because I was getting over the effects of using alcohol."
69,hsum_alc_sud15,Alcohol,Symptom - SUD (tolerance),radio,hsum_alc_freq,>= 3,symptom_4pt,"Over time, I needed to use more alcohol to get the same effect."
70,hsum_alc_sud16,Alcohol,Symptom - SUD (tolerance),radio,hsum_alc_freq,>= 3,symptom_4pt,I've noticed that using alcohol does not have the same effect that it used to have.
71,hsum_alc_sud17,Alcohol,Symptom - SUD (tolerance),radio,hsum_alc_freq,>= 3,symptom_4pt,I used alcohol a lot more than others before feeling high.
72,hsum_alc_with01,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Goose bumps"
73,hsum_alc_with02,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Heart racing"
74,hsum_alc_with03,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Muscle aches"
75,hsum_alc_with04,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Physical shakes"
76,hsum_alc_with05,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Seizures"
77,hsum_alc_with06,Alcohol,Symptom - Withdrawal (bodily sensations),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Sweating"
78,hsum_alc_with07,Alcohol,Symptom - Withdrawal (digestive problems),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Constipation"
79,hsum_alc_with08,Alcohol,Symptom - Withdrawal (digestive problems),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Diarrhea"
80,hsum_alc_with09,Alcohol,Symptom - Withdrawal (digestive problems),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Nausea or Vomiting"
81,hsum_alc_with10,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Coughing"
82,hsum_alc_with11,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Dilated pupils"
83,hsum_alc_with12,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Dry mouth"
84,hsum_alc_with13,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Fever"
85,hsum_alc_with14,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Headaches or Migraines"
86,hsum_alc_with15,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Mouth sores"
87,hsum_alc_with16,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Runny nose"
88,hsum_alc_with17,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Teary eyes"
89,hsum_alc_with18,Alcohol,Symptom - Withdrawal (face or head),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Yawning"
90,hsum_alc_with19,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Anxiety or Nervousness"
91,hsum_alc_with20,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Depression or Sadness"
92,hsum_alc_with21,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Trouble enjoying things"
93,hsum_alc_with22,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Anger or Irritability"
94,hsum_alc_with23,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Trouble concentrating"
95,hsum_alc_with24,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Trouble paying attention"
96,hsum_alc_with25,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Trouble thinking clearly"
97,hsum_alc_with26,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Restlessness"
98,hsum_alc_with27,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Seeing things that weren't really there"
99,hsum_alc_with28,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Feeling things that weren't really there"
100,hsum_alc_with29,Alcohol,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Hearing things that weren't really there"
101,hsum_alc_with30,Alcohol,Symptom - Withdrawal (appetite or sleeping),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Decreased appetite"
102,hsum_alc_with31,Alcohol,Symptom - Withdrawal (appetite or sleeping),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Increased appetite"
103,hsum_alc_with32,Alcohol,Symptom - Withdrawal (appetite or sleeping),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Sleeping too much"
104,hsum_alc_with33,Alcohol,Symptom - Withdrawal (appetite or sleeping),radio,hsum_alc_freq,>= 3,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of alcohol, I experienced: Insomnia or trouble sleeping"
105,hsum_nic_sud01,Nicotine,Symptom - SUD (craving),radio,hsum_nic_freq,>= 5,symptom_4pt,Reminders of nicotine gave me a strong urge to smoke or take nicotine.
106,hsum_nic_sud02,Nicotine,Symptom - SUD (craving),radio,hsum_nic_freq,>= 5,symptom_4pt,I craved nicotine.
107,hsum_nic_sud03,Nicotine,Symptom - SUD (craving),radio,hsum_nic_freq,>= 5,symptom_4pt,I had strong desires to use nicotine.
108,hsum_nic_sud08,Nicotine,Symptom - SUD (impaired control),radio,hsum_nic_freq,>= 5,symptom_4pt,I was not able to cut back on using nicotine when I wanted to.
109,hsum_nic_sud09,Nicotine,Symptom - SUD (impaired control),radio,hsum_nic_freq,>= 5,symptom_4pt,I used too much nicotine.
110,hsum_nic_sud10,Nicotine,Symptom - SUD (impaired control),radio,hsum_nic_freq,>= 5,symptom_4pt,"I tried to use nicotine only at certain times, but it did not work for long."
111,hsum_nic_sud11,Nicotine,Symptom - SUD (impaired control),radio,hsum_nic_freq,>= 5,symptom_4pt,I got high on nicotine despite previously deciding not to.
112,hsum_nic_sud12,Nicotine,Symptom - SUD (role interference),radio,hsum_nic_freq,>= 5,symptom_4pt,I continued to use nicotine even though it made my performance at work suffer.
113,hsum_nic_sud13,Nicotine,Symptom - SUD (role interference),radio,hsum_nic_freq,>= 5,symptom_4pt,"Using nicotine or being sick from using nicotine got in the way of my taking care of myself, my home, or my family."
114,hsum_nic_sud14,Nicotine,Symptom - SUD (role interference),radio,hsum_nic_freq,>= 5,symptom_4pt,"I missed work, school, or other obligations because I was getting over the effects of using nicotine."
115,hsum_nic_sud15,Nicotine,Symptom - SUD (tolerance),radio,hsum_nic_freq,>= 5,symptom_4pt,"Over time, I needed to use more nicotine to get the same effect."
116,hsum_nic_sud16,Nicotine,Symptom - SUD (tolerance),radio,hsum_nic_freq,>= 5,symptom_4pt,I've noticed that using nicotine does not have the same effect that it used to have.
117,hsum_nic_sud17,Nicotine,Symptom - SUD (tolerance),radio,hsum_nic_freq,>= 5,symptom_4pt,I used nicotine a lot more than others before feeling high.
118,hsum_nic_with01,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Goose bumps"
119,hsum_nic_with02,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Heart racing"
120,hsum_nic_with03,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Muscle aches"
121,hsum_nic_with04,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Physical shakes"
122,hsum_nic_with05,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Seizures"
123,hsum_nic_with06,Nicotine,Symptom - Withdrawal (bodily sensations),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Sweating"
124,hsum_nic_with07,Nicotine,Symptom - Withdrawal (digestive problems),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Constipation"
125,hsum_nic_with08,Nicotine,Symptom - Withdrawal (digestive problems),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Diarrhea"
126,hsum_nic_with09,Nicotine,Symptom - Withdrawal (digestive problems),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Nausea or Vomiting"
127,hsum_nic_with10,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Coughing"
128,hsum_nic_with11,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Dilated pupils"
129,hsum_nic_with12,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Dry mouth"
130,hsum_nic_with13,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Fever"
131,hsum_nic_with14,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Headaches or Migraines"
132,hsum_nic_with15,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Mouth sores"
133,hsum_nic_with16,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Runny nose"
134,hsum_nic_with17,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Teary eyes"
135,hsum_nic_with18,Nicotine,Symptom - Withdrawal (face or head),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Yawning"
136,hsum_nic_with19,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Anxiety or Nervousness"
137,hsum_nic_with20,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Depression or Sadness"
138,hsum_nic_with21,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Trouble enjoying things"
139,hsum_nic_with22,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Anger or Irritability"
140,hsum_nic_with23,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Trouble concentrating"
141,hsum_nic_with24,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Trouble paying attention"
142,hsum_nic_with25,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Trouble thinking clearly"
143,hsum_nic_with26,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Restlessness"
144,hsum_nic_with27,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Seeing things that weren't really there"
145,hsum_nic_with28,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Feeling things that weren't really there"
146,hsum_nic_with29,Nicotine,"Symptom - Withdrawal (think, feel, or behave)",radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Hearing things that weren't really there"
147,hsum_nic_with30,Nicotine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Decreased appetite"
148,hsum_nic_with31,Nicotine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Increased appetite"
149,hsum_nic_with32,Nicotine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Sleeping too much"
150,hsum_nic_with33,Nicotine,Symptom - Withdrawal (appetite or sleeping),radio,hsum_nic_freq,>= 5,symptom_4pt,"As a result of stopping, quitting, or cutting down on my use of nicotine, I experienced: Insomnia or trouble sleeping"
151,hsum_can_sud01,Cannabis,Symptom - SUD (craving),radio,hsum_can_freq,>= 3,symptom_4pt,Reminders of cannabis gave me a strong urge to use cannabis.
152,hsum_can_sud02,Cannabis,Symptom - SUD (craving),radio,hsum_can_freq,>= 3,symptom_4pt,I craved cannabis.
153,hsum_can_sud03,Cannabis,Symptom - SUD (craving),radio,hsum_can_freq,>= 3,symptom_4pt,I had strong desires to use cannabis.
154,hsum_can_sud04,Cannabis,Symptom - SUD (hazardous use),radio,hsum_can_freq,>= 3,symptom_4pt,I drove a car while intoxicated under the influence of cannabis.
155,hsum_can_sud05,Cannabis,Symptom - SUD (hazardous use),radio,hsum_can_freq,>= 3,symptom_4pt,"When I was under the influence of cannabis, I was in a situation where I could have gotten hurt (e.g., when riding a bicycle, swimming, operating machinery)."
156,hsum_can_sud06,Cannabis,Symptom - SUD (hazardous use),radio,hsum_can_freq,>= 3,symptom_4pt,I damaged something valuable while using cannabis.
157,hsum_can_sud07,Cannabis,Symptom - SUD (hazardous use),radio,hsum_can_freq,>= 3,symptom_4pt,I did risky or dangerous things while using cannabis that I would not have done sober.
158,hsum_can_sud08,Cannabis,Symptom - SUD (impaired control),radio,hsum_can_freq,>= 3,symptom_4pt,I was not able to cut back on using cannabis when I wanted to.
